Section / State,ID,Requirement,Spec Ref,Priority,Notes / RTL Mapping,Phase,Status,Assignee,Method
1. SBINIT,SB-01,UCIe Module must send 64-UI clock pattern (1010...) and 32-UI low on both SB data Tx,4.5.3.2,P0,Pattern gen in SBInitRequester,1,Not Started,,
1. SBINIT,SB-02,UCIe Module Partner must sample incoming SB data patterns with incoming clock,4.5.3.2,P0,,1,Not Started,,
1. SBINIT,SB-03,"On pattern detection on at least one SB data-clock Rx combo, must stop sending after completing current iteration",4.5.3.2,P0,detectPatternCounter logic,1,Not Started,,
1. SBINIT,SB-04,"If pattern not detected, must continue alternating for total of 8ms then timeout to TRAINERROR",4.5.3.2,P0,Timeout path critical,1,Not Started,,
1. SBINIT,SB-05,"After detection, SB Tx/Rx must be enabled for functional sideband messages",4.5.3.2,P0,RAW to PACKET mode transition,1,Not Started,,
1. SBINIT,SB-06,Must send {SBINIT Out of Reset} sideband message continuously until partner detection,4.5.3.2,P0,,1,Not Started,,
1. SBINIT,SB-07,Must send {SBINIT done req} and wait for {SBINIT done resp} before exiting to MBINIT,4.5.3.2,P0,,1,Not Started,,
1. SBINIT,SB-08,Module partner must ignore received {SBINIT done req} if not ready to proceed,4.5.3.2,P1,,1,Not Started,,
1. SBINIT,SB-09,Module partner must collapse multiple outstanding {SBINIT done req} messages into single response,4.5.3.2,P1,Edge case,1,Not Started,,
2. MBINIT.PARAM,MP-01,"Must exchange Tx voltage swing, max data rate, clock mode, clock phase, UCIe-Sx8, SB feature extensions, Tx adjust runtime, module ID via sideband",4.5.3.3.1,P0,MBInitRequester/Responder,1,Not Started,,
2. MBINIT.PARAM,MP-02,UCIe Module Partner must respond with max common data rate (min of local and remote),4.5.3.3.1,P0,local NegotiatedMaxData Rate logic,1,Not Started,,
2. MBINIT.PARAM,MP-03,Clock mode in response must match the request value,4.5.3.3.1,P0,interoperableParams Comparison,1,Not Started,,
2. MBINIT.PARAM,MP-04,"If interoperable params not found, must escalate error",4.5.3.3.1,P0,interoperableParamsErrorFlag,1,Not Started,,
2. MBINIT.PARAM,MP-06,"On receiving {MBINIT.PARAM configuration resp}, must exit to MBINIT.CAL",4.5.3.3.1,P0,,1,Not Started,,
2. MBINIT.PARAM,MP-07,MBINIT stall handling: {MBINIT.PARAM SBFE resp} with stall encoding must be sent once every 4ms,4.5.3.3.1.2,P1,Stall conditions,1,Not Started,,
2. MBINIT.PARAM,MP-08,Sideband Feature Extensions (SBFE) negotiation if SB_MGMT_UP flag is set,4.5.3.3.1.1,P1,,1,Not Started,,
3. MBINIT.CAL,MC-01,Must send {MBINIT.CAL Done req} and wait for {MBINIT.CAL Done resp},4.5.3.3.2,P0,mbInitCalDone input,1,Not Started,,
3. MBINIT.CAL,MC-02,"On receiving {MBINIT.CAL Done resp}, must exit to MBINIT.REPAIRCLK",4.5.3.3.2,P0,,1,Not Started,,
4. MBINIT.REPAIRCLK,RC-01,"Must enable Tx/Rx on Clock, Track, and redundant lanes",4.5.3.3.3,P0,,1,Not Started,,
4. MBINIT.REPAIRCLK,RC-02,Must send clock repair pattern and check repair success via Tx-initiated point test,4.5.3.3.3,P0,Pattern must not be scrambled,1,Not Started,,
4. MBINIT.REPAIRCLK,RC-03,"If clock/track unrepairable, must exit to TRAINERROR via handshake",4.5.3.3.3,P0,Error path,1,Not Started,,
4. MBINIT.REPAIRCLK,RC-05,"On {MBINIT.REPAIRCLK done resp}, must exit to MBINIT.REPAIRVAL",4.5.3.3.3,P0,,1,Not Started,,
5. MBINIT.REPAIRVAL,RV-01,Must set clock phase at center of data UI; partner must sample Valid with forwarded clock,4.5.3.3.4,P0,,1,Not Started,,
5. MBINIT.REPAIRVAL,RV-02,All Data lanes must be held low during Valid repair,4.5.3.3.4,P0,mbLaneCtrilo check,1,Not Started,,
5. MBINIT.REPAIRVAL,RV-03,Must send 128 iterations of VALTRAIN pattern (unscrambled) on VLD,4.5.3.3.4,P0,PatternWriter config,1,Not Started,,
5. MBINIT.REPAIRVAL,RV-06,"If repair unsuccessful or unrepairable, must exit to TRAINERROR",4.5.3.3.4,P0,,1,Not Started,,
5. MBINIT.REPAIRVAL,RV-07,"On {MBINIT.REPAIRVAL done resp}, must exit to MBINIT.REVERSALMB",4.5.3.3.4,P0,,1,Not Started,,
6. MBINIT.REVERSALMB,LR-01,Must send {MBINIT.REVERSALMB init req} and wait for resp,4.5.3.3.5,P0,,1,Not Started,,
6. MBINIT.REVERSALMB,LR-02,"Must send Per Lane ID pattern on all N data lanes (128 iterations, unscrambled)",4.5.3.3.5,P0,,1,Not Started,,
6. MBINIT.REVERSALMB,LR-03,Partner must perform per-lane compare on all N Rx lanes,4.5.3.3.5,P0,PatternReader compare,1,Not Started,,
6. MBINIT.REVERSALMB,LR-04,Must correctly detect lane reversal and apply if needed,4.5.3.3.5,P0,applyLane Reversal output,1,Not Started,,
6. MBINIT.REVERSALMB,LR-06,"On {MBINIT.REVERSALMB done resp}, must exit to MBINIT.REPAIRMB",4.5.3.3.5,P0,,1,Not Started,,
